,번호,이름,수능점수,내신점수,1학년점수,1순위,2순위,3순위,4순위,5순위,6순위,7순위,8순위,9순위,10순위,가중Score
0,1,뻯썀뻜,61,74,91,신소재공학부(금속시스템공학),기계설계공학부(나노바이오기계시스템공학),소프트웨어공학과,양자시스템공학과,융합기술공학부(IT응용시스템공학),전자공학부,융합기술공학부(IT융합기전공학),신소재공학부(정보소재공학),기계설계공학부(기계설계공학),산업정보시스템공학과,70.0
1,2,풞깨첂,61,68,92,기계시스템공학부,바이오메디컬공학부,건축공학과,소프트웨어공학과,유기소재섬유공학과,신소재공학부(전자재료공학),도시공학과,신소재공학부(금속시스템공학),기계설계공학부(기계설계공학),양자시스템공학과,70.3
2,3,촘싩폴,72,76,100,기계시스템공학부,유기소재섬유공학과,바이오메디컬공학부,화학공학부,기계공학과,컴퓨터인공지능학부,양자시스템공학과,항공우주공학과,토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT응용시스템공학),80.4
3,4,썯잫붸,64,78,92,토목/환경/자원.에너지공학부(환경공학),토목/환경/자원.에너지공학부(토목공학),바이오메디컬공학부,기계설계공학부(기계설계공학),양자시스템공학과,고분자.나노공학과,융합기술공학부(IT융합기전공학),유기소재섬유공학과,기계공학과,산업정보시스템공학과,72.39999999999999
4,5,찧럒쇊,62,77,30,토목/환경/자원.에너지공학부(자원.에너지공학),토목/환경/자원.에너지공학부(환경공학),항공우주공학과,전기공학과,양자시스템공학과,도시공학과,토목/환경/자원.에너지공학부(토목공학),소프트웨어공학과,신소재공학부(정보소재공학),산업정보시스템공학과,52.4
5,6,깨꾞뻃,79,44,56,기계시스템공학부,토목/환경/자원.에너지공학부(환경공학),기계공학과,전자공학부,기계설계공학부(나노바이오기계시스템공학),기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(자원.에너지공학),항공우주공학과,전기공학과,건축공학과,72.1
6,7,빺껪뚾,61,75,80,컴퓨터인공지능학부,신소재공학부(정보소재공학),산업정보시스템공학과,기계설계공학부(기계설계공학),기계공학과,고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),바이오메디컬공학부,토목/환경/자원.에너지공학부(자원.에너지공학),토목/환경/자원.에너지공학부(토목공학),66.69999999999999
7,8,뢿뾣끼,77,57,56,산업정보시스템공학과,컴퓨터인공지능학부,바이오메디컬공학부,유기소재섬유공학과,전기공학과,융합기술공학부(IT융합기전공학),항공우주공학과,전자공학부,기계설계공학부(나노바이오기계시스템공학),건축공학과,70.7
8,9,냮죺눺,52,51,46,신소재공학부(금속시스템공학),컴퓨터인공지능학부,도시공학과,기계시스템공학부,고분자.나노공학과,융합기술공학부(IT융합기전공학),신소재공학부(전자재료공학),유기소재섬유공학과,기계공학과,소프트웨어공학과,50.199999999999996
9,10,툹쾫쉝,67,59,90,바이오메디컬공학부,도시공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(토목공학),기계공학과,항공우주공학과,신소재공학부(금속시스템공학),양자시스템공학과,소프트웨어공학과,기계시스템공학부,73.9
10,11,쁥헴옄,73,87,100,기계설계공학부(나노바이오기계시스템공학),항공우주공학과,기계설계공학부(기계설계공학),건축공학과,토목/환경/자원.에너지공학부(토목공학),산업정보시스템공학과,컴퓨터인공지능학부,융합기술공학부(IT융합기전공학),소프트웨어공학과,신소재공학부(전자재료공학),81.1
11,12,튋댽풢,96,69,35,융합기술공학부(IT융합기전공학),기계설계공학부(나노바이오기계시스템공학),유기소재섬유공학과,신소재공학부(전자재료공학),고분자.나노공학과,소프트웨어공학과,토목/환경/자원.에너지공학부(토목공학),도시공학과,양자시스템공학과,융합기술공학부(IT응용시스템공학),77.69999999999999
12,13,맯푏왨,55,85,60,컴퓨터인공지능학부,고분자.나노공학과,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT융합기전공학),도시공학과,기계시스템공학부,신소재공학부(전자재료공학),건축공학과,전기공학과,항공우주공학과,56.5
13,14,긨뫵쫕,75,80,75,바이오메디컬공학부,융합기술공학부(IT응용시스템공학),전자공학부,항공우주공학과,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(토목공학),전기공학과,건축공학과,토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT융합기전공학),75.0
14,15,흠쳣킁,54,60,53,기계공학과,산업정보시스템공학과,양자시스템공학과,융합기술공학부(IT응용시스템공학),융합기술공학부(IT융합기전공학),소프트웨어공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,토목/환경/자원.에너지공학부(환경공학),53.699999999999996
15,16,흩퍧쬈,71,62,67,전자공학부,융합기술공학부(IT융합기전공학),산업정보시스템공학과,기계시스템공학부,양자시스템공학과,항공우주공학과,토목/환경/자원.에너지공학부(환경공학),유기소재섬유공학과,고분자.나노공학과,건축공학과,69.8
16,17,뚲쯊큡,71,73,100,기계공학과,도시공학과,기계설계공학부(나노바이오기계시스템공학),신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(자원.에너지공학),전기공학과,전자공학부,토목/환경/자원.에너지공학부(환경공학),신소재공학부(금속시스템공학),고분자.나노공학과,79.69999999999999
17,18,꺤뚼턯,58,68,100,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),컴퓨터인공지능학부,토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,소프트웨어공학과,기계설계공학부(기계설계공학),유기소재섬유공학과,건축공학과,전자공학부,70.6
18,19,즗댰놞,75,59,58,기계시스템공학부,신소재공학부(금속시스템공학),항공우주공학과,융합기술공학부(IT융합기전공학),신소재공학부(정보소재공학),기계공학과,유기소재섬유공학과,전자공학부,토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),69.9
19,20,뱰꺋놮,64,62,58,산업정보시스템공학과,융합기술공학부(IT응용시스템공학),컴퓨터인공지능학부,화학공학부,기계설계공학부(기계설계공학),소프트웨어공학과,유기소재섬유공학과,도시공학과,항공우주공학과,신소재공학부(금속시스템공학),62.199999999999996
20,21,뀳섅줥,66,92,66,도시공학과,항공우주공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),기계설계공학부(기계설계공학),기계공학과,화학공학부,신소재공학부(정보소재공학),기계시스템공학부,고분자.나노공학과,66.0
21,22,퀕끒띢,89,65,80,전자공학부,토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,기계설계공학부(기계설계공학),산업정보시스템공학과,신소재공학부(전자재료공학),고분자.나노공학과,도시공학과,전기공학과,항공우주공학과,86.3
22,23,쟥룉눺,61,53,63,기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(환경공학),화학공학부,유기소재섬유공학과,토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT응용시스템공학),전기공학과,항공우주공학과,양자시스템공학과,융합기술공학부(IT융합기전공학),61.599999999999994
23,24,발쵽솆,71,92,91,유기소재섬유공학과,양자시스템공학과,소프트웨어공학과,고분자.나노공학과,토목/환경/자원.에너지공학부(토목공학),항공우주공학과,기계시스템공학부,융합기술공학부(IT응용시스템공학),전자공학부,토목/환경/자원.에너지공학부(환경공학),77.0
24,25,푐턘흐,58,58,93,전자공학부,화학공학부,양자시스템공학과,융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(환경공학),신소재공학부(금속시스템공학),컴퓨터인공지능학부,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT융합기전공학),68.5
25,26,뗥뫧턤,47,74,59,전자공학부,융합기술공학부(IT융합기전공학),건축공학과,융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),전기공학과,바이오메디컬공학부,유기소재섬유공학과,고분자.나노공학과,신소재공학부(금속시스템공학),50.599999999999994
26,27,햰믟싂,61,54,36,소프트웨어공학과,전기공학과,컴퓨터인공지능학부,유기소재섬유공학과,기계설계공학부(나노바이오기계시스템공학),기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(토목공학),기계시스템공학부,융합기술공학부(IT융합기전공학),융합기술공학부(IT응용시스템공학),53.49999999999999
27,28,흳곉굎,75,46,79,기계시스템공학부,신소재공학부(금속시스템공학),융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(환경공학),고분자.나노공학과,전기공학과,소프트웨어공학과,컴퓨터인공지능학부,신소재공학부(정보소재공학),신소재공학부(전자재료공학),76.2
28,29,쏴쉉퀷,48,85,65,전자공학부,기계시스템공학부,신소재공학부(금속시스템공학),기계공학과,기계설계공학부(기계설계공학),양자시스템공학과,융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(환경공학),고분자.나노공학과,도시공학과,53.099999999999994
29,30,퉷밦개,68,76,64,기계시스템공학부,양자시스템공학과,기계설계공학부(기계설계공학),산업정보시스템공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),컴퓨터인공지능학부,유기소재섬유공학과,전기공학과,도시공학과,66.8
30,31,핼쥀뽏,85,54,78,전자공학부,고분자.나노공학과,신소재공학부(정보소재공학),소프트웨어공학과,화학공학부,융합기술공학부(IT융합기전공학),전기공학과,컴퓨터인공지능학부,기계시스템공학부,산업정보시스템공학과,82.89999999999999
31,32,켕푏쨋,78,82,68,기계시스템공학부,고분자.나노공학과,융합기술공학부(IT융합기전공학),전자공학부,토목/환경/자원.에너지공학부(환경공학),도시공학과,신소재공학부(정보소재공학),소프트웨어공학과,바이오메디컬공학부,산업정보시스템공학과,75.0
32,33,쫟맄쇭,84,73,89,유기소재섬유공학과,고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),도시공학과,컴퓨터인공지능학부,양자시스템공학과,신소재공학부(금속시스템공학),기계설계공학부(나노바이오기계시스템공학),건축공학과,기계공학과,85.5
33,34,뚪흄뇊,86,73,77,융합기술공학부(IT융합기전공학),신소재공학부(전자재료공학),기계설계공학부(나노바이오기계시스템공학),바이오메디컬공학부,토목/환경/자원.에너지공학부(토목공학),항공우주공학과,기계공학과,건축공학과,유기소재섬유공학과,기계설계공학부(기계설계공학),83.3
34,35,늁녂물,89,57,93,기계설계공학부(기계설계공학),건축공학과,융합기술공학부(IT응용시스템공학),바이오메디컬공학부,고분자.나노공학과,소프트웨어공학과,토목/환경/자원.에너지공학부(환경공학),항공우주공학과,전자공학부,양자시스템공학과,90.19999999999999
35,36,먹넦짝,99,67,76,컴퓨터인공지능학부,고분자.나노공학과,융합기술공학부(IT융합기전공학),유기소재섬유공학과,바이오메디컬공학부,건축공학과,신소재공학부(전자재료공학),도시공학과,소프트웨어공학과,화학공학부,92.1
36,37,둶귏꿷,72,76,76,기계공학과,융합기술공학부(IT응용시스템공학),신소재공학부(정보소재공학),항공우주공학과,신소재공학부(전자재료공학),신소재공학부(금속시스템공학),화학공학부,컴퓨터인공지능학부,전기공학과,기계설계공학부(나노바이오기계시스템공학),73.2
37,38,헀욍쥶,66,59,44,소프트웨어공학과,기계설계공학부(기계설계공학),양자시스템공학과,신소재공학부(전자재료공학),전자공학부,토목/환경/자원.에너지공학부(자원.에너지공학),산업정보시스템공학과,컴퓨터인공지능학부,화학공학부,고분자.나노공학과,59.39999999999999
38,39,응탣깵,67,78,69,컴퓨터인공지능학부,소프트웨어공학과,융합기술공학부(IT응용시스템공학),유기소재섬유공학과,신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(자원.에너지공학),기계시스템공학부,토목/환경/자원.에너지공학부(환경공학),전기공학과,신소재공학부(금속시스템공학),67.6
39,40,랃쏾혐,68,66,46,소프트웨어공학과,토목/환경/자원.에너지공학부(환경공학),항공우주공학과,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(자원.에너지공학),바이오메디컬공학부,화학공학부,신소재공학부(정보소재공학),기계공학과,고분자.나노공학과,61.39999999999999
40,41,녚륱먧,74,74,74,전자공학부,토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),항공우주공학과,건축공학과,기계설계공학부(나노바이오기계시스템공학),기계공학과,기계시스템공학부,신소재공학부(정보소재공학),74.0
41,42,룘핊뷏,68,68,88,컴퓨터인공지능학부,전기공학과,토목/환경/자원.에너지공학부(환경공학),기계공학과,바이오메디컬공학부,도시공학과,신소재공학부(금속시스템공학),건축공학과,융합기술공학부(IT융합기전공학),기계설계공학부(나노바이오기계시스템공학),74.0
42,43,섪촻믚,70,94,96,전자공학부,항공우주공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(환경공학),신소재공학부(금속시스템공학),신소재공학부(정보소재공학),융합기술공학부(IT응용시스템공학),건축공학과,양자시스템공학과,토목/환경/자원.에너지공학부(자원.에너지공학),77.8
43,44,겅떳업,64,84,48,융합기술공학부(IT응용시스템공학),산업정보시스템공학과,화학공학부,기계설계공학부(나노바이오기계시스템공학),항공우주공학과,신소재공학부(정보소재공학),전자공학부,전기공학과,바이오메디컬공학부,유기소재섬유공학과,59.199999999999996
44,45,띵쁊뱎,68,65,32,고분자.나노공학과,신소재공학부(전자재료공학),기계설계공학부(기계설계공학),도시공학과,기계시스템공학부,전기공학과,신소재공학부(정보소재공학),유기소재섬유공학과,양자시스템공학과,건축공학과,57.199999999999996
45,46,뎈폡횩,56,87,43,전자공학부,기계설계공학부(나노바이오기계시스템공학),산업정보시스템공학과,신소재공학부(금속시스템공학),도시공학과,양자시스템공학과,소프트웨어공학과,건축공학과,융합기술공학부(IT융합기전공학),신소재공학부(전자재료공학),52.099999999999994
46,47,풍뽞됥,70,69,94,기계시스템공학부,기계설계공학부(기계설계공학),도시공학과,신소재공학부(정보소재공학),컴퓨터인공지능학부,토목/환경/자원.에너지공학부(토목공학),고분자.나노공학과,융합기술공학부(IT응용시스템공학),신소재공학부(전자재료공학),기계공학과,77.2
47,48,뀱퉙띸,66,70,74,전기공학과,기계설계공학부(기계설계공학),기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(토목공학),산업정보시스템공학과,도시공학과,토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT융합기전공학),기계시스템공학부,컴퓨터인공지능학부,68.39999999999999
